County,SeriesId
Franklin County,IAFRAN9URN
Fremont County,IAFREM1URN
Greene County,IAGREE3URN
Grundy County,IAGRUN5URN
Guthrie County,IAGUTH7URN
Hamilton County,IAHAMI9URN
Hancock County,IAHANC1URN
Hardin County,IAHARD3URN
Harrison County,IAHARR5URN
Henry County,IAHENR7URN
Howard County,IAHOWA9URN
Humboldt County,IAHUMB1URN
Ida County,IAIDAC3URN
Iowa County,IAIOWA5URN
Jackson County,IAJACK7URN
Jasper County,IAJASP9URN
Jefferson County,IAJEFF1URN
Johnson County,IAJOHN3URN
Jones County,IAJONE5URN
Keokuk County,IAKEOK7URN
Kossuth County,IAKOSS9URN
Lee County,IALEEC1URN
Linn County,IALINN0URN
Louisa County,IALOUI5URN
Lucas County,IALUCA7URN
Lyon County,IALYON9URN
Madison County,IAMADI1URN
Mahaska County,IAMAHA3URN
Marion County,IAMARI5URN
Marshall County,IAMARS7URN
Mills County,IAMILL9URN
Mitchell County,IAMITC1URN
Monona County,IAMONO3URN
Monroe County,IAMONR5URN
Montgomery County,IAMONT7URN
Muscatine County,IAMUSC9URN
O'Brien County,IAOBRI1URN
Osceola County,IAOSCE3URN
Page County,IAPAGE5URN
Palo Alto County,IAPALO7URN
Plymouth County,IAPLYM9URN
Pocahontas County,IAPOCA1URN
Polk County,IAPOLK3URN
Pottawattamie County,IAPOTT5URN
Poweshiek County,IAPOWE7URN
Ringgold County,IARING9URN
Sac County,IASACC1URN
Scott County,IASCOT3URN
Shelby County,IASHEL5URN
Sioux County,IASIOU7URN
Story County,IASTOR7URN
Tama County,IATAMA1URN
Taylor County,IATAYL3URN
Union County,IAUNIO5URN
Van Buren County,IAVANB7URN
Wapello County,IAWAPE9URN
Warren County,IAWARR1URN
Washington County,IAWASH3URN
Wayne County,IAWAYN5URN
Webster County,IAWEBS7URN
Winnebago County,IAWINN9URN
Winneshiek County,IAWINN1URN
Woodbury County,IAWOOD0URN
Worth County,IAWORT5URN
Wright County,IAWRIG7URN
Allen County,KSALLE1URN
Anderson County,KSANDE3URN
